id,tweet_id,text,screen_name,author_id
139,1512172873745530909,"Cartels Selling Fentanyl To Migrants, Locals In Northern Mexico https://t.co/MryUiZsgTw via @DailyCaller",Chris_1791,312149882
140,1512172872202080269,RT @RxPedMemo: La pediatra emputadísima revisando el cagadero que le dejaron el turno anterior. https://t.co/jwr5tWp9LA,KatysMy_Vicodin,138243431
141,1512172852782538752,I’ll pop a fentanyl perk before I’ll do LSD respectfully,ZahaPachulia,2502553795
142,1512172829751586820,"RT @RepChipRoy: '"How many dead migrants is enough?'"

'"How many dead Americans from fentanyl poisonings is enough?'"

'"How many bullets need…",Mimialoha6,1208452508777164800
143,1512178578875580463,@patriottakes Fentanyl is one hell of a drug.,Meidas_ZobethC,1278025203855982592
144,1512178538157277192,"RT @HesperiaPolice: Since February 2021, 14 teenagers have died in our county from Fentanyl overdoses.  We want to encourage you to have a…",ScottWilkCA,396395609
145,1512178512068853768,"“Fentanyl is killing Americans at an unprecedented rate. .... numerous mass-overdose events have resulted in dozens of overdoses &amp; deaths. Drug traffickers are driving addiction, &amp; increasing their profits, by mixing fentanyl with other illicit drugs.”
https://t.co/oND0jJViox",AddictionCHQ,1296504984008372226
146,1512178456733360138,"@BillBraxton @jhbriggs @drewseybaby Yes! Why was Tramadol, an opiod agonist, reclassified as an ACTUAL OPIOD?

That means that they can''t mail it anymore, there''s MANY more hoops &amp; craziness.

I was on Fentanyl patches, I know all about opiods. Tramadol ain''t it, but, reclassification of the drugs sure LOOKED GOOD.",portnoy44,17157611
147,1512178426844786689,@jgriffey85 Vikes,Heather58682752,1291160400797597697
148,1512178413892734987,"Two Men Busted w/ 1,000 lbs of Meth &amp; Coke Plus Enough Fentanyl to Kill 4.7M People https://t.co/GtzZFTQKE8",vladtv,23760351
149,1512178408909848584,"Two Men Busted w/ 1,000 lbs of Meth &amp; Coke Plus Enough Fentanyl to Kill 4.7M People https://t.co/XzkGRzF6rt",djvlad,18088038
